termDisplayName,termDisplayNameNonPreferred,termName,foreName,middleName,surName,initials,salutation,title,nameAdditions,termLanguage,termPrefForLang,termType,termFlag,termQualifier,termSource,termSourceID,termSourceDetail,termSourceNote,termStatus,birthDateGroup,deathDateGroup,birthPlace,deathPlace,group,nationality,gender,occupation,schoolOrStyle,bioNote,nameNote,email,emailType,telephoneNumber,telephoneNumberType,faxNumber,faxNumberType,webAddress,webAddressType,addressType,addressPlace1,addressPlace2,addressMunicipality,addressStateOrProvince,addressPostCode,addressCountry
Yana Saytakhmetova,,Yana Saytakhmetova,Yana,,Saytakhmetova,DK,dear,Dr,additions text,Italian, true,descriptor,,qualifier text,Book Five,43080,detail text,source text,under review,1895,1963,Manchester,Paris,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1341,home,000-555-4674,business,notaURL.atall,business,business,,,,,,
Avdotya Leonova,,Avdotya Leonova,Avdotya,,Leonova,AC,hello,Professor,additions text,Japanese, true,alternate descriptor,,qualifier text,Book One,43413,detail text,source text,accepted,1920,1999,Paris,Lyon,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1342,mobile,000-555-4675,home,notaURL.atall,personal,home,,,,,,
Angelika Travkina,,Angelika Travkina,Angelika,,Travkina,IH,to,Ms,additions text,Korean, false,used for term,,qualifier text,Book Two,43746,detail text,source text,rejected,1924,,Lyon,New York,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1343,other,000-555-4676,other,notaURL.atall,other,other,,,,,,
Inna Lukashenko,,Inna Lukashenko,Inna,,Lukashenko,AT,dear,Dr,additions text,Latin, true,descriptor,,qualifier text,Book Three,44079,detail text,source text,provisional,1826,1873,New York,Los Angeles,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1344,business,000-555-4677,business,notaURL.atall,business,business,,,,,,
Luiza Krasotkina,,Luiza Krasotkina,Luiza,,Krasotkina,JW,hello,Professor,additions text,Malaysian, true,alternate descriptor,,qualifier text,Book Four,44412,detail text,source text,under review,1830,1858,Los Angeles,San Jose,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1345,home,000-555-4678,home,notaURL.atall,personal,home,,,,,,
Miloslava Fomina,,Miloslava Fomina,Miloslava,,Fomina,RI,to,Ms,additions text,Middle English, false,used for term,,qualifier text,Book Five,44745,detail text,source text,accepted,ca. 1886,1921,San Jose,Puerto Limon,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1346,mobile,000-555-4679,other,notaURL.atall,other,other,,,,,,
Klavdia Krupina,,Klavdia Krupina,Klavdia,,Krupina,JM,dear,Dr,additions text,Old English, true,descriptor,,qualifier text,Book One,45078,detail text,source text,rejected,1880,unknown,Puerto Limon,Sydney,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1347,other,000-555-4680,business,notaURL.atall,business,business,,,,,,
Sara Yesaulova,,Sara Yesaulova,Sara,,Yesaulova,JM,hello,Professor,additions text,Portuguese, true,alternate descriptor,,qualifier text,Book Two,45411,detail text,source text,provisional,1954,,Sydney,Melbourne,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1348,business,000-555-4681,home,notaURL.atall,personal,home,,,,,,
Ika Koshkova,,Ika Koshkova,Ika,,Koshkova,LF,to,Ms,additions text,Romanian, false,used for term,,qualifier text,Book Three,45744,detail text,source text,under review,1940,,Melbourne,South Tarawa,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1349,home,000-555-4682,other,notaURL.atall,other,other,,,,,,
Anfisa Bezrukova,,Anfisa Bezrukova,Anfisa,,Bezrukova,DK,dear,Dr,additions text,Russian, true,descriptor,,qualifier text,Book Four,46077,detail text,source text,accepted,1964,,South Tarawa,Betio Village,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1350,mobile,000-555-4683,business,notaURL.atall,business,business,,,,,,
Archie Farraday,,Archie Farraday,Archie,,Farraday,AC,hello,Professor,additions text,Spanish, true,alternate descriptor,,qualifier text,Book Five,46410,detail text,source text,rejected,1932,,Betio Village,Lima,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1351,other,000-555-4684,home,notaURL.atall,personal,home,,,,,,
Elliott Chins-Ranton,,Elliott Chins-Ranton,Elliott,,Chins-Ranton,IH,to,Mr,additions text,Swahili, false,used for term,,qualifier text,Book One,46743,detail text,source text,provisional,1786,1840,Lima,Arequipa,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1352,business,000-555-4685,other,notaURL.atall,other,other,,,,,,
Crawford Rowley,,Crawford Rowley,Crawford,,Rowley,AT,dear,Dr,additions text,Swedish, true,descriptor,,qualifier text,Book Two,47076,detail text,source text,under review,ca. 420 BCE,ca. 390 BCE,Arequipa,Santiago,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1353,home,000-555-4686,business,notaURL.atall,business,business,,,,,,
Christopher Smythe,,Christopher Smythe,Christopher,,Smythe,JW,hello,Professor,additions text,Tagalog, true,alternate descriptor,,qualifier text,Book Three,47409,detail text,source text,accepted,1786,1840,Santiago,Puente Alto,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1354,mobile,000-555-4687,home,notaURL.atall,personal,home,,,,,,
Quinn Griggs,,Quinn Griggs,Quinn,,Griggs,RI,to,Mr,additions text,Yoruba, false,used for term,,qualifier text,Book Four,47742,detail text,source text,rejected,1954,,Puente Alto,Algiers,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1355,other,000-555-4688,other,notaURL.atall,other,other,,,,,,
Edgar Asquith,,Edgar Asquith,Edgar,,Asquith,JM,dear,Dr,additions text,Ancient Greek, true,descriptor,,qualifier text,Book Five,48075,detail text,source text,provisional,1886,1948,Algiers,Oran,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1356,business,000-555-4689,business,notaURL.atall,business,business,,,,,,
Frederick Leighton,,Frederick Leighton,Frederick,,Leighton,JM,hello,Professor,additions text,Arabic, true,alternate descriptor,,qualifier text,Book One,48408,detail text,source text,under review,1858,1929,Oran,Pretoria,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1357,home,000-555-4690,home,notaURL.atall,personal,home,,,,,,
Leonardo Royale,,Leonardo Royale,Leonardo,,Royale,LF,to,Mr,additions text,Armenian, false,used for term,,qualifier text,Book Two,48741,detail text,source text,accepted,1892,1963,Pretoria,Johannesburg,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,other,000-555-1358,mobile,000-555-4691,other,notaURL.atall,other,other,,,,,,
Rupert Paxton,,Rupert Paxton,Rupert,,Paxton,DK,dear,Dr,additions text,Chinese, true,descriptor,,qualifier text,Book Three,49074,detail text,source text,rejected,1903,1991,Johannesburg,Tel Aviv,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1359,other,000-555-4692,business,notaURL.atall,business,business,,,,,,
Walter Millington,,Walter Millington,Walter,,Millington,AC,hello,Professor,additions text,English, true,alternate descriptor,,qualifier text,Book Four,49407,detail text,source text,provisional,1889,unknown,Beijing,London,group text,English,male,occupation text,school text,,name note text,email@address,personal,000-555-1360,business,000-555-4693,home,notaURL.atall,personal,home,,,,,,
Hermione Milbourne,,Hermione Milbourne,Hermione,,Milbourne,IH,to,Ms,additions text,French, false,used for term,,qualifier text,Book Five,49740,detail text,source text,under review,1922,1988,Shanghai,Manchester,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1361,home,000-555-4694,other,notaURL.atall,other,other,,,,,,
Arabella Gainsborough,,Arabella Gainsborough,Arabella,,Gainsborough,AT,dear,Dr,additions text,German, true,descriptor,,qualifier text,Book One,50073,detail text,source text,accepted,1780,1846,Jerusalem,Paris,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1362,mobile,000-555-4695,business,notaURL.atall,business,business,,,,,,
Isadora Damon-Cowles,,Isadora Damon-Cowles,Isadora,,Damon-Cowles,JW,hello,Professor,additions text,Hebrew, true,alternate descriptor,,qualifier text,Book Two,50406,detail text,source text,rejected,1957,,Tel Aviv,Lyon,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1363,other,000-555-4696,home,notaURL.atall,personal,home,,,,,,
Alexandria Jenkings,,Alexandria Jenkings,Alexandria,,Jenkings,RI,to,Ms,additions text,Indonesian, false,used for term,,qualifier text,Book Three,50739,detail text,source text,provisional,1955,,London,New York,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1364,business,000-555-4697,other,notaURL.atall,other,other,,,,,,
Theodora Rogers,,Theodora Rogers,Theodora,,Rogers,JM,dear,Dr,additions text,Italian, true,descriptor,,qualifier text,Book Four,51072,detail text,source text,under review,1914,2004,Manchester,Los Angeles,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1365,home,000-555-4698,business,notaURL.atall,business,business,,,,,,
Saskia Stenham,,Saskia Stenham,Saskia,,Stenham,JM,hello,Professor,additions text,Japanese, true,alternate descriptor,,qualifier text,Book Five,51405,detail text,source text,accepted,1905,1959,Paris,San Jose,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1366,mobile,000-555-4699,home,notaURL.atall,personal,home,,,,,,
Isobel Wellington,,Isobel Wellington,Isobel,,Wellington,LF,to,Ms,additions text,Korean, false,used for term,,qualifier text,Book One,51738,detail text,source text,rejected,1967,,Lyon,Puerto Limon,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1367,other,000-555-4700,other,notaURL.atall,other,other,,,,,,
Georgia Herrington,,Georgia Herrington,Georgia,,Herrington,DK,dear,Dr,additions text,Latin, true,descriptor,,qualifier text,Book Two,52071,detail text,source text,provisional,1930,,New York,Sydney,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1368,business,000-555-4701,business,notaURL.atall,business,business,,,,,,
Zara Holt,,Zara Holt,Zara,,Holt,AC,hello,Professor,additions text,Malaysian, true,alternate descriptor,,qualifier text,Book Three,52404,detail text,source text,under review,1881,1929,Los Angeles,Melbourne,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1369,home,000-555-4702,home,notaURL.atall,personal,home,,,,,,
Arabella Sinnett,,Arabella Sinnett,Arabella,,Sinnett,IH,to,Ms,additions text,Middle English, false,used for term,,qualifier text,Book Four,52737,detail text,source text,accepted,1875,1954,San Jose,South Tarawa,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1370,mobile,000-555-4703,other,notaURL.atall,other,other,,,,,,
Reier Mogen,,Reier Mogen,Reier,,Mogen,AT,dear,Dr,additions text,Old English, true,descriptor,,qualifier text,Book Five,53070,detail text,source text,rejected,1922,,Puerto Limon,Betio Village,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1371,other,000-555-4704,business,notaURL.atall,business,business,,,,,,
Rasin Holtan,,Rasin Holtan,Rasin,,Holtan,JW,hello,Professor,additions text,Portuguese, true,alternate descriptor,,qualifier text,Book One,53403,detail text,source text,provisional,1716,1800,Sydney,Lima,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1372,business,000-555-4705,home,notaURL.atall,personal,home,,,,,,
Halduor Thomassen,,Halduor Thomassen,Halduor,,Thomassen,RI,to,Mr,additions text,Romanian, false,used for term,,qualifier text,Book Two,53736,detail text,source text,under review,1545,1603,Melbourne,Arequipa,group text,Danish,male,occupation text,school text,,name note text,email@address,other,000-555-1373,home,000-555-4706,other,notaURL.atall,other,other,,,,,,
Jens Haraldsen,,Jens Haraldsen,Jens,,Haraldsen,JM,dear,Dr,additions text,Russian, true,descriptor,,qualifier text,Book Three,54069,detail text,source text,accepted,1950,,South Tarawa,Santiago,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1374,mobile,000-555-4707,business,notaURL.atall,business,business,,,,,,
Sokrates Nordlie,,Sokrates Nordlie,Sokrates,,Nordlie,JM,hello,Professor,additions text,Spanish, true,alternate descriptor,,qualifier text,Book Four,54402,detail text,source text,rejected,1735,unknown,Betio Village,Puente Alto,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1375,other,000-555-4708,home,notaURL.atall,personal,home,,,,,,
Berteus Langlie,,Berteus Langlie,Berteus,,Langlie,LF,to,Mr,additions text,Swahili, false,used for term,,qualifier text,Book Five,54735,detail text,source text,provisional,1791,1798,Lima,Algiers,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1376,business,000-555-4709,other,notaURL.atall,other,other,,,,,,
Hugleik Eng,,Hugleik Eng,Hugleik,,Eng,DK,dear,Dr,additions text,Swedish, true,descriptor,,qualifier text,Book One,55068,detail text,source text,under review,1894,1961,Arequipa,Oran,group text,Danish,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1377,home,000-555-4710,business,notaURL.atall,business,business,,,,,,
Mindolf Vangen,,Mindolf Vangen,Mindolf,,Vangen,AC,hello,Professor,additions text,Tagalog, true,alternate descriptor,,qualifier text,Book Two,55401,detail text,source text,accepted,1929,,Santiago,Pretoria,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1378,mobile,000-555-4711,home,notaURL.atall,personal,home,,,,,,
Jorden Tollefsrud,,Jorden Tollefsrud,Jorden,,Tollefsrud,IH,to,Mr,additions text,Yoruba, false,used for term,,qualifier text,Book Three,55734,detail text,source text,rejected,1921,1995,Puente Alto,Johannesburg,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1379,other,000-555-4712,other,notaURL.atall,other,other,,,,,,
Thorgrim Lade,,Thorgrim Lade,Thorgrim,,Lade,AT,dear,Dr,additions text,Ancient Greek, true,descriptor,,qualifier text,Book Four,56067,detail text,source text,provisional,1890,1967,Algiers,Tel Aviv,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1380,business,000-555-4713,business,notaURL.atall,business,business,,,,,,
Eila Brenna,,Eila Brenna,Eila,,Brenna,JW,hello,Professor,additions text,Arabic, true,alternate descriptor,,qualifier text,Book Five,56400,detail text,source text,under review,1863,1953,Oran,London,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1381,home,000-555-4714,home,notaURL.atall,personal,home,,,,,,
Clementine Egge,,Clementine Egge,Clementine,,Egge,RI,to,Ms,additions text,Armenian, false,used for term,,qualifier text,Book One,56733,detail text,source text,accepted,1784,1872,Pretoria,Manchester,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,other,000-555-1382,mobile,000-555-4715,other,notaURL.atall,other,other,,,,,,
Annmari Nyhus,,Annmari Nyhus,Annmari,,Nyhus,JM,dear,Dr,additions text,Chinese, true,descriptor,,qualifier text,Book Two,57066,detail text,source text,rejected,1922,2001,Johannesburg,Paris,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1383,other,000-555-4716,business,notaURL.atall,business,business,,,,,,
Oylaug Bjorklund,,Oylaug Bjorklund,Oylaug,,Bjorklund,JM,hello,Professor,additions text,English, true,alternate descriptor,,qualifier text,Book Three,57399,detail text,source text,provisional,1925,1984,Beijing,Lyon,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1384,business,000-555-4717,home,notaURL.atall,personal,home,,,,,,
Alessia Trelstad,,Alessia Trelstad,Alessia,,Trelstad,LF,to,Ms,additions text,French, false,used for term,,qualifier text,Book Four,57732,detail text,source text,under review,1976,,Shanghai,New York,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1385,home,000-555-4718,other,notaURL.atall,other,other,,,,,,
Rosemarie Langager,,Rosemarie Langager,Rosemarie,,Langager,DK,dear,Dr,additions text,German, true,descriptor,,qualifier text,Book Five,58065,detail text,source text,accepted,1984,,Jerusalem,Los Angeles,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1386,mobile,000-555-4719,business,notaURL.atall,business,business,,,,,,
Ingbertine Nicolaysen,,Ingbertine Nicolaysen,Ingbertine,,Nicolaysen,AC,hello,Professor,additions text,Hebrew, true,alternate descriptor,,qualifier text,Book One,58398,detail text,source text,rejected,1972,,Tel Aviv,San Jose,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1387,other,000-555-4720,home,notaURL.atall,personal,home,,,,,,
Ailiyah Jespersen,,Ailiyah Jespersen,Ailiyah,,Jespersen,IH,to,Ms,additions text,Indonesian, false,used for term,,qualifier text,Book Two,58731,detail text,source text,provisional,1967,,London,Puerto Limon,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1388,business,000-555-4721,other,notaURL.atall,other,other,,,,,,
Conni Julson,,Conni Julson,Conni,,Julson,AT,dear,Dr,additions text,Italian, true,descriptor,,qualifier text,Book Three,59064,detail text,source text,under review,1991,,Manchester,Sydney,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1389,home,000-555-4722,business,notaURL.atall,business,business,,,,,,
Davina Haugan,,Davina Haugan,Davina,,Haugan,JW,hello,Professor,additions text,Japanese, true,alternate descriptor,,qualifier text,Book Four,59397,detail text,source text,accepted,1813,1877,Paris,Melbourne,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1390,mobile,000-555-4723,home,notaURL.atall,personal,home,,,,,,
James Smith,,James Smith,James,,Smith,RI,to,Mr,additions text,Korean, false,used for term,,qualifier text,Book Five,59730,detail text,source text,rejected,1773,1810,Lyon,South Tarawa,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1391,other,000-555-4724,other,notaURL.atall,other,other,,,,,,
John Johnson,,John Johnson,John,,Johnson,JM,dear,Dr,additions text,Latin, true,descriptor,,qualifier text,Book One,60063,detail text,source text,provisional,1945,,New York,Betio Village,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1392,business,000-555-4725,business,notaURL.atall,business,business,,,,,,
Robert Williams,,Robert Williams,Robert,,Williams,JM,hello,Professor,additions text,Malaysian, true,alternate descriptor,,qualifier text,Book Two,60396,detail text,source text,under review,1969,,Los Angeles,Lima,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1393,home,000-555-4726,home,notaURL.atall,personal,home,,,,,,
Michael Jones,,Michael Jones,Michael,,Jones,LF,to,Mr,additions text,Middle English, false,used for term,,qualifier text,Book Three,60729,detail text,source text,accepted,ca. 1928,,San Jose,Arequipa,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1394,mobile,000-555-4727,other,notaURL.atall,other,other,,,,,,
William Brown,,William Brown,William,,Brown,DK,dear,Dr,additions text,Old English, true,descriptor,,qualifier text,Book Four,61062,detail text,source text,rejected,1960,,Puerto Limon,Santiago,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1395,other,000-555-4728,business,notaURL.atall,business,business,,,,,,
David Davis,,David Davis,David,,Davis,AC,hello,Professor,additions text,Portuguese, true,alternate descriptor,,qualifier text,Book Five,61395,detail text,source text,provisional,1665,1695,Sydney,Puente Alto,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1396,business,000-555-4729,home,notaURL.atall,personal,home,,,,,,
Richard Miller,,Richard Miller,Richard,,Miller,IH,to,Mr,additions text,Romanian, false,used for term,,qualifier text,Book One,61728,detail text,source text,under review,1853,1902,Melbourne,Algiers,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1397,home,000-555-4730,other,notaURL.atall,other,other,,,,,,
Charles Wilson,,Charles Wilson,Charles,,Wilson,AT,dear,Dr,additions text,Russian, true,descriptor,,qualifier text,Book Two,62061,detail text,source text,accepted,1968,,South Tarawa,Oran,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1398,mobile,000-555-4731,business,notaURL.atall,business,business,,,,,,
Joseph Moore,,Joseph Moore,Joseph,,Moore,JW,hello,Professor,additions text,Spanish, true,alternate descriptor,,qualifier text,Book Three,62394,detail text,source text,rejected,1900,1986,Betio Village,Pretoria,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1399,other,000-555-4732,home,notaURL.atall,personal,home,,,,,,
Thomas Taylor,,Thomas Taylor,Thomas,,Taylor,RI,to,Mr,additions text,Swahili, false,used for term,,qualifier text,Book Four,62727,detail text,source text,provisional,1957,,Lima,Johannesburg,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1400,business,000-555-4733,other,notaURL.atall,other,other,,,,,,
Mary Smith,,Mary Smith,Mary,,Smith,JM,dear,Dr,additions text,Swedish, true,descriptor,,qualifier text,Book Five,63060,detail text,source text,under review,1895,1963,Arequipa,Tel Aviv,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1401,home,000-555-4734,business,notaURL.atall,business,business,,,,,,
Patricia Johnson,,Patricia Johnson,Patricia,,Johnson,JM,hello,Professor,additions text,Tagalog, true,alternate descriptor,,qualifier text,Book One,63393,detail text,source text,accepted,1920,1999,Santiago,London,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1402,mobile,000-555-4735,home,notaURL.atall,personal,home,,,,,,
Linda Williams,,Linda Williams,Linda,,Williams,LF,to,Ms,additions text,Yoruba, false,used for term,,qualifier text,Book Two,63726,detail text,source text,rejected,1924,,Puente Alto,Manchester,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,other,000-555-1403,other,000-555-4736,other,notaURL.atall,other,other,,,,,,
Barbara Jones,,Barbara Jones,Barbara,,Jones,DK,dear,Dr,additions text,Ancient Greek, true,descriptor,,qualifier text,Book Three,64059,detail text,source text,provisional,1826,1873,Algiers,Paris,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1404,business,000-555-4737,business,notaURL.atall,business,business,,,,,,
Elizabeth Brown,,Elizabeth Brown,Elizabeth,,Brown,AC,hello,Professor,additions text,Arabic, true,alternate descriptor,,qualifier text,Book Four,64392,detail text,source text,under review,1830,1858,Oran,Lyon,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1405,home,000-555-4738,home,notaURL.atall,personal,home,,,,,,
Jennifer Davis,,Jennifer Davis,Jennifer,,Davis,IH,to,Ms,additions text,Armenian, false,used for term,,qualifier text,Book Five,64725,detail text,source text,accepted,ca. 1886,1921,Pretoria,New York,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1406,mobile,000-555-4739,other,notaURL.atall,other,other,,,,,,
